Date,Open,High,Low,Close,Adj Close,Volume
2012-11-07,68.709999,68.790001,66.540001,66.540001,63.002239,16900
2012-11-08,66.820000,67.540001,64.000000,64.220001,60.805603,20700
2012-11-09,64.000000,64.849998,62.099998,63.630001,60.246971,15300
2012-11-12,64.040001,64.779999,63.950001,64.080002,60.673050,6500
2012-11-13,64.190002,64.400002,63.410000,64.230003,60.815075,13800
2012-11-14,64.150002,64.389999,63.299999,63.400002,60.029198,5900
2012-11-15,63.090000,63.200001,61.070000,62.369999,59.053955,13600
2012-11-16,61.810001,63.830002,61.759998,62.930000,59.584190,26000
2012-11-19,64.449997,65.589996,63.610001,64.980003,61.525185,21400
2012-11-20,65.000000,66.260002,64.260002,65.199997,61.733494,7400
2012-11-21,65.580002,65.580002,64.849998,65.500000,62.017544,3500
2012-11-23,65.709999,66.980003,65.709999,66.599998,63.059048,7600
2012-11-26,66.339996,67.910004,66.339996,67.690002,64.091095,11800
2012-11-27,67.809998,68.750000,66.500000,66.919998,63.362053,19300
2012-11-28,66.900002,67.910004,66.570000,67.250000,63.674496,11900
2012-11-29,67.580002,68.470001,67.000000,67.860001,64.252068,11000
2012-11-30,67.800003,69.000000,67.349998,68.639999,64.990593,23200
2012-12-03,69.000000,69.000000,67.250000,67.800003,64.195259,24400
2012-12-04,68.000000,68.779999,67.580002,68.629997,64.981125,5700
2012-12-05,68.750000,68.860001,68.379997,68.389999,64.753899,4200
2012-12-06,68.180000,68.989998,67.389999,68.300003,64.668678,4400
2012-12-07,68.550003,68.550003,66.650002,66.949997,63.390457,18000
2012-12-10,66.769997,67.000000,66.470001,66.989998,63.428337,10900
2012-12-11,67.180000,67.500000,66.699997,67.470001,63.882793,7400
2012-12-12,68.440002,68.470001,66.639999,66.870003,63.314701,20100
2012-12-13,66.440002,67.809998,66.129997,67.230003,63.655571,8700
2012-12-14,67.650002,67.650002,66.760002,67.120003,63.551426,4100
2012-12-17,66.949997,67.949997,66.750000,67.680000,64.081635,17000
2012-12-18,67.570000,67.940002,67.459999,67.750000,64.147896,3600
2012-12-19,67.580002,67.739998,66.690002,67.260002,63.683956,12600
